Product_id,Advert_id,Price,City_Name,Zone,City_code,Zone_code,Square_meters,Bed_rooms,Toilets,advert_url,today's_date
 2857263,9562002857263,370000,barcelona,sagrada_familia, 1930008, 202,96,3,1,https://www.habitaclia.com/comprar-atico-ultima_planta_a_estrenar_cdos_de_maig_sagrada_familia_junto_a_sagrada_familia-barcelona-i9562002857263.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:08.588627
 4382151,4190004382151,215000,barcelona,la_bordeta, 1930008, 305,70,3,1,https://www.habitaclia.com/comprar-piso-fantastica_oportunidad_en_sants_montjuic_oportunidad_para_entr_la_bordeta-barcelona-i4190004382151.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:10.955215
 227,13242000000227,699000,barcelona,sarria, 1930008, 502,182,6,3,https://www.habitaclia.com/comprar-piso-con_6_habitaciones_con_ascensor_y_calefaccion_sarria-barcelona-i13242000000227.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:12.634424
 100,42616000000100,390000,barcelona,raval, 1930008, 101,105,4,2,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_calefaccion_raval-barcelona-i42616000000100.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:14.360113
 31,42616000000031,125000,barcelona,raval, 1930008, 101,50,2,1,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_aire_acondicionado_raval-barcelona-i42616000000031.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:15.929587
 2808193,5612002808193,850000,barcelona,dreta_de_l_eixample, 1930008, 203,138,3,2,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_dreta_de_l_eixample-barcelona-i5612002808193.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:18.196469
 4305323,23591004305323,159000,barcelona,la_verneda___la_pau, 1930008, 1010,91,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_la_verneda_la_pau-barcelona-i23591004305323.htm?pag=17&f=&geo=p&from=list&lo=55,2022-11-12 17:00:19.770790
 4300827,2257004300827,330000,barcelona,gotic, 1930008, 102,63,1,1,https://www.habitaclia.com/comprar-piso-de_diseno_en_pasaje_privado_junto_a_portal_de_l_angel_gotic-barcelona-i2257004300827.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:21.443052
 3996482,5020003996482,189000,barcelona,putget___farro, 1930008, 506,64,1,1,https://www.habitaclia.com/comprar-loft-putget_farro-barcelona-i5020003996482.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:23.082067
 4132487,29735004132487,1200000,barcelona,esquerra_baixa_de_l_eixample, 1930008, 205,NA,2,2,https://www.habitaclia.com/comprar-piso-obra_nueva_esquerra_baixa_de_l_eixample-barcelona-i29735004132487.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:24.719909
 4407576,9552004407576,740000,barcelona,raval, 1930008, 101,NA,3,3,https://www.habitaclia.com/comprar-atico-obra_nueva_raval-barcelona-i9552004407576.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:26.241956
 3915435,29735003915435,790000,barcelona,gotic, 1930008, 102,NA,2,2,https://www.habitaclia.com/comprar-piso-obra_nueva_gotic-barcelona-i29735003915435.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:27.910909
 4391143,9552004391143,512400,barcelona,guinardo, 1930008, 703,NA,3,3,https://www.habitaclia.com/comprar-planta_baja-obra_nueva_calle_villar_62_guinardo-barcelona-i9552004391143.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:29.606079
 4310201,37307004310201,750000,barcelona,dreta_de_l_eixample, 1930008, 203,NA,2,2,https://www.habitaclia.com/comprar-piso-obra_nueva_paseo_sant_joan_110_dreta_de_l_eixample-barcelona-i37307004310201.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:31.195664
 949,38188000000949,475000,barcelona,sant_gervasi___galvany, 1930008, 505,99,3,2,https://www.habitaclia.com/comprar-piso-junto_francesc_macia_disponibilidad_inmediata_sant_gervasi_galvany-barcelona-i38188000000949.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:33.437395
 4257163,10024004257163,269000,barcelona,sant_andreu, 1930008, 903,81,3,1,https://www.habitaclia.com/comprar-piso-pis_en_venda_a_sant_andreu_rambla_onze_de_setembre_sant_andreu-barcelona-i10024004257163.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:36.242089
 4299031,3457004299031,230000,barcelona,taxonera, 1930008, 706,87,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_taxonera-barcelona-i3457004299031.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:38.093286
 2577570,5177002577570,550000,barcelona,provenc_als_del_poblenou, 1930008, 1008,78,2,2,https://www.habitaclia.com/comprar-piso-en_avenida_diagonal_provenc_als_del_poblenou-barcelona-i5177002577570.htm?pag=18&f=&geo=p&from=list&lo=55,2022-11-12 17:00:39.326575
